id,text,label,source,notes
1,Insane that Mbappe has that many at age 27. Hes gonna obliterate the record,reaction,r/soccer,"Hard case (Edge Case 2): reasoned reaction - amazement time-anchored to Messi tying the record live, not standalone analysis."
2,"Mbappe almost single-handedly carried France in the '22 WC Final. You know, not many players could score a hat-trick in the WC Final.",hot_take,r/soccer,
3,"World Cup goal records in general are almost entirely a measure of How good your team is in general How much of a focal point you are within your team's offense The sample size just isn't large enough to provide any meaningful data outside of ""oh, that's neat."" Messi's La Liga records are far more impressive than this IMO.",analysis,r/soccer,
4,"How good the team is, is a good point. Klose was in four world cups and all four times Germany were through to the semifinals. Also agree with your other points as well. Its a lot of luck, being healthy during the tournament, and that you happen to be in a system that props up your goalscoring. Klose was class but nobody would actually rate him as a better goalscorer than Ronaldo Fenmeno and Messi.",hot_take,r/soccer,Hard case (Edge Case 1): stat-decorated hot_take - Klose semifinal stat decorates a predetermined ranking conclusion.
5,"Ronaldinho was 26 when he played his last wc. You never know how a players career will turn out.He can regress,and with him playing for france thats stacked,there could be someone who starts in front of him.He can also be injured for the next one,and hed be 35 before his next chance.",analysis,r/soccer,
6,Looks like mbappe will be the record holder in the future probably. he's only 27. Could potentially attend 3 more world cups.,hot_take,r/soccer,
7,Messi is going to take this comment personally and start scoring hattricks every game for the rest of the tournament,hot_take,r/soccer,
8,He could hold it when this world cup is done.,reaction,r/soccer,
9,"He now officially doesn't really have anything left to accomplish in football, tbh. He's platinum trophy'd the entire sport.",hot_take,r/soccer,
10,False. He still has a legitimate shot at banging every woman from Argentin,reaction,r/soccer,
11,traight dudes also. Probably half of argentinas male fans would accept having sex with Messi just because he is messi,hot_take,r/soccer,
12,Just trying to inspire the devs to make some new achievements.,reaction,r/soccer,
13,He said hmmm ima start this game by scoring Immediately,reaction,r/soccer,
14,You watch film too huh? That's cool - watch this,reaction,r/soccer,
15,Barring injury in sports is insane. The risk of Mbappe ruining his body in the next 10 years is massiv,hot_take,r/soccer,
16,He's got his WC trophy and now he can have fun. You can see it on his f,hot_take,r/soccer,
17,And he didnt score in 2010. Just took that tournament off. Has a goose egg for a whole tournament and still ties the record.,hot_take,r/soccer,
18,"The problem with this statement is that scoring from that spot is not the easiest thing in the world by any means. Messi is the best ever at scoring goals from this spot - centrally, just outside the box - but for your average player, and even many top players, having that much space in that spot is no guarantee of a goal. Not to mention that the pass was behind Messi and he had to adjust and move quickly before getting closed down by defenders. Messi is just that automatic. Theres a reason hes the goat.",hot_take,r/soccer,
19,"True - but still, all the defenders ran through to the top of the box, leaving him jogging behind. He made space for himself simply by running a little slower. But that's what champions do in sports like this, isn't it? Wear you down, and make you pay for every little tactical mistake.",analysis,r/soccer,
